"","tax_name","count_change"
"1","[Ruminococcus] obeum",40818
"2","Alistipes finegoldii",50
"3","Alistipes onderdonkii",1974
"4","Alistipes shahii",4
"5","Anaerostipes hadrus",-2075
"6","Anaerotruncus sp. NML 070203",398
"7","bacterium NLAE-zl-H54",669
"8","bacterium NLAE-zl-P430",64717
"9","bacterium NLAE-zl-P827",260
"10","Bacteroidales bacterium ph8",-855
"11","Bacteroides caccae",28
"12","Bacteroides massiliensis",3448
"13","Bacteroides plebeius",-67892
"14","Bacteroides rodentium",98
"15","Bacteroides salyersiae",994
"16","Bacteroides uniformis",-2275
"17","Barnesiella intestinihominis",-1824
"18","Bifidobacterium animalis",-46396
"19","Bifidobacterium longum",-7456
"20","Bilophila wadsworthia",-265
"21","Blautia faecis",32
"22","Blautia stercoris",5875
"23","Brachyspira sp. NSH-25",2
"24","butyrate-producing bacterium A1-86",332
"25","butyrate-producing bacterium PH05YA09",45
"26","Butyricimonas sp. 214-4",-260
"27","Butyricimonas virosa",-6
"28","Clostridiales bacterium L2-14",-5642
"29","Clostridium baratii",-30411
"30","Clostridium clostridioforme",-7381
"31","Clostridium symbiosum",115
"32","Coprococcus comes",719
"33","Coprococcus sp. DJF_CR49",-27370
"34","Cronobacter sakazakii",35900
"35","Desulfovibrio sp. oral clone BB161",83
"36","Eubacterium eligens",71
"37","Faecalibacterium prausnitzii",40972
"38","Flavonifractor plautii",159
"39","Lachnospiraceae bacterium 1_1_57FAA",3410
"40","Lactobacillus rogosae",-996
"41","Odoribacter laneus",-1484
"42","Odoribacter splanchnicus",343
"43","Parabacteroides distasonis",-1140
"44","Parabacteroides johnsonii",134
"45","Parabacteroides merdae",-1293
"46","Parasutterella excrementihominis",2776
"47","Peptostreptococcaceae bacterium TM5",-21585
"48","Phascolarctobacterium faecium",810
"49","Roseburia inulinivorans",1442
"50","Roseburia sp. 11SE38",-35958
"51","Ruminococcus bromii",-11395
"52","Ruminococcus faecis",4194
"53","Ruminococcus lactaris",-68
"54","Streptococcus thermophilus",-431
"55","Subdoligranulum sp. 4_3_54A2FAA",143
"56","Subdoligranulum variabile",76
"57","Victivallaceae bacterium NML 080035",2
