"","missing.count_norm","missing.tax_name"
"1",6269,"Akkermansia"
"2",5619,"Corynebacterium"
"3",1702,"Butyrivibrio"
"4",1257,"Arthrobacter"
"5",881,"Turicibacter"
"6",787,"Hydrogenoanaerobacterium"
"7",727,"Bacillus"
"8",530,"Enorma"
"9",488,"Caloramator"
"10",479,"Marvinbryantia"
"11",376,"Acidaminococcus"
"12",376,"Pseudoclavibacter"
"13",291,"Finegoldia"
"14",274,"Synergistes"
"15",214,"Gardnerella"
"16",205,"Brevibacterium"
"17",163,"Adlercreutzia"
"18",145,"Oligella"
"19",145,"Sutterella"
"20",120,"Dysgonomonas"
"21",111,"Oscillibacter"
"22",111,"Paenibacillus"
"23",103,"Haloplasma"
"24",94,"Moryella"
"25",94,"Parascardovia"
"26",86,"Pseudochrobactrum"
"27",77,"Varibaculum"
"28",68,"Gordonibacter"
"29",68,"Parvibacter"
"30",60,"Alkalispirillum"
"31",51,"Peptoniphilus"
"32",43,"Anaerococcus"
"33",34,"Denitrobacterium"
"34",34,"Gaetbulibacter"
"35",34,"Murdochiella"
"36",34,"Pseudoflavonifractor"
"37",26,"Allisonella"
"38",26,"Anaerofilum"
"39",26,"Anaerofustis"
"40",26,"Desulfosporosinus"
"41",26,"Listeria"
"42",26,"Pontibacter"
"43",26,"Succiniclasticum"
"44",26,"Thermincola"
"45",17,"Acetitomaculum"
"46",17,"Agrococcus"
"47",17,"Caldanaerobacter"
"48",17,"Christensenella"
"49",17,"Cyanobium"
"50",17,"Desulfitobacterium"
"51",17,"Desulfocella"
"52",17,"Dethiobacter"
"53",17,"Helicobacter"
"54",17,"Kocuria"
"55",17,"Legionella"
"56",17,"Marichromatium"
"57",17,"Methylogaea"
"58",17,"Niastella"
"59",17,"Oribacterium"
"60",17,"Papillibacter"
"61",17,"Pedobacter"
"62",17,"Porphyromonas"
"63",17,"Sporobacterium"
"64",17,"Staphylococcus"
"65",17,"Thiomonas"
