taxon,parent,count,count_norm,avg,tax_name,tax_rank,tax_color
2,131567,29015,1000000,null,Bacteria,superkingdom,null
1239,2,21863,753507,null,Firmicutes,phylum,5E6591
186801,1239,21001,723798,null,Clostridia,class,null
186802,186801,20991,723453,null,Clostridiales,order,null
541000,186802,9927,342133,null,Ruminococcaceae,family,null
186803,186802,6908,238084,null,Lachnospiraceae,family,null
216851,541000,5132,176874,null,Faecalibacterium,genus,null
853,216851,4298,148130,null,Faecalibacterium prausnitzii,species,null
200643,976,3591,123764,null,Bacteroidia,class,null
976,68336,3591,123764,null,Bacteroidetes,phylum,e65848
68336,2,3591,123764,null,Bacteroidetes/Chlorobi group,superphylum,null
171549,200643,3586,123591,null,Bacteroidales,order,null
49928,2323,2185,75306,null,unclassified Bacteria (miscellaneous),no_rank,null
2323,2,2185,75306,null,unclassified Bacteria,no_rank,null
1201878,49928,2066,71205,null,bacterium NLAE-zl-H54,species,null
1263,541000,1898,65414,null,Ruminococcus,genus,null
171551,171549,1528,52662,null,Porphyromonadaceae,family,null
572511,186803,1414,48733,null,Blautia,genus,null
33042,186803,1257,43322,null,Coprococcus,genus,null
46205,186803,1204,41496,null,Pseudobutyrivibrio,genus,null
990719,186802,1174,40462,null,Christensenellaceae,family,null
375288,171551,1012,34879,null,Parabacteroides,genus,null
815,171549,905,31191,null,Bacteroidaceae,family,null
816,815,893,30777,null,Bacteroides,genus,null
31979,186802,866,29847,null,Clostridiaceae,family,null
171550,171549,836,28813,null,Rikenellaceae,family,null
239759,171550,834,28744,null,Alistipes,genus,null
46503,375288,812,27986,null,Parabacteroides merdae,species,null
526524,1239,616,21230,null,Erysipelotrichia,class,null
526525,526524,616,21230,null,Erysipelotrichales,order,null
128827,526525,616,21230,null,Erysipelotrichaceae,family,null
135858,128827,602,20748,null,Catenibacterium,genus,null
100886,135858,602,20748,null,Catenibacterium mitsuokai,species,null
1730,186806,581,20024,null,Eubacterium,genus,null
186806,186802,581,20024,null,Eubacteriaceae,family,null
820,816,564,19438,null,Bacteroides uniformis,species,null
186813,186802,564,19438,null,unclassified Clostridiales,no_rank,null
39779,186813,556,19163,null,unclassified Clostridiales (miscellaneous),no_rank,null
40518,1263,541,18646,null,Ruminococcus bromii,species,null
830,186803,484,16681,null,Butyrivibrio,genus,null
28117,239759,480,16543,null,Alistipes putredinis,species,null
39492,1730,458,15785,null,Eubacterium siraeum,species,null
201174,2,447,15406,null,Actinobacteria,phylum,73C7D7
1760,201174,447,15406,null,Actinobacteria,class,null
1485,31979,434,14958,null,Clostridium,genus,null
1224,2,421,14510,null,Proteobacteria,phylum,2ab69d
1266,31979,410,14131,null,Sarcina,genus,null
1265,1263,407,14027,null,Ruminococcus flavefaciens,species,null
1531,1485,377,12993,null,Clostridium clostridioforme,species,null
292632,541000,367,12649,null,Subdoligranulum,genus,null
189330,186803,342,11787,null,Dorea,genus,null
45851,830,337,11615,null,Butyrivibrio crossotus,species,null
397864,171551,275,9478,null,Barnesiella,genus,null
85003,1760,275,9478,null,Actinobacteridae,subclass,null
841,186803,260,8961,null,Roseburia,genus,null
544448,2,256,8823,null,Tenericutes,phylum,null
31969,544448,256,8823,null,Mollicutes,class,null
28216,1224,249,8582,null,Betaproteobacteria,class,null
248744,186803,249,8582,null,Marvinbryantia,genus,null
80840,28216,249,8582,null,Burkholderiales,order,null
105832,39779,247,8513,null,butyrate-producing bacterium L1-93,species,null
85004,85003,246,8478,null,Bifidobacteriales,order,null
