"","count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"ubiome_bacteriacounts.1",223,3856,480,"no_rank",NA,NA,1236608,"Moraxella catarrhalis BBH18"
"ubiome_bacteriacounts.2",223,3856,46226,"species",NA,NA,480,"Moraxella catarrhalis"
"ubiome_bacteriacounts.3",223,3856,475,"subgenus",NA,NA,46226,"Branhamella"
"ubiome_bacteriacounts.4",4458,77076,468,"genus",NA,NA,475,"Moraxella"
"ubiome_bacteriacounts.5",4500,77802,72274,"family",NA,NA,468,"Moraxellaceae"
"ubiome_bacteriacounts.6",4500,77802,1236,"order",NA,NA,72274,"Pseudomonadales"
"ubiome_bacteriacounts.7",4507,77923,1224,"class",NA,NA,1236,"Gammaproteobacteria"
"ubiome_bacteriacounts.8",13398,231643,2,"phylum","2ab69d",NA,1224,"Proteobacteria"
"ubiome_bacteriacounts.9",57839,1000000,131567,"superkingdom",NA,NA,2,"Bacteria"
"ubiome_bacteriacounts.10",57839,1000000,1,"no_rank",NA,NA,131567,"cellular organisms"
"ubiome_bacteriacounts.11",57914,1001297,0,"root",NA,NA,1,"root"
"ubiome_bacteriacounts.12",2,35,1236,"order",NA,NA,72273,"Thiotrichales"
"ubiome_bacteriacounts.13",2,35,85020,"genus",NA,NA,36739,"Dermabacter"
"ubiome_bacteriacounts.14",2,35,85006,"family",NA,NA,85020,"Dermabacteraceae"
"ubiome_bacteriacounts.15",2,35,2037,"suborder",NA,NA,85006,"Micrococcineae"
"ubiome_bacteriacounts.16",36582,632480,85003,"order",NA,NA,2037,"Actinomycetales"
"ubiome_bacteriacounts.17",36582,632480,1760,"subclass",NA,NA,85003,"Actinobacteridae"
"ubiome_bacteriacounts.18",36639,633465,201174,"class",NA,NA,1760,"Actinobacteria"
"ubiome_bacteriacounts.19",36639,633465,2,"phylum","73C7D7",NA,201174,"Actinobacteria"
"ubiome_bacteriacounts.20",4558,78805,1716,"species",NA,NA,37637,"Corynebacterium pseudodiphtheriticum"
"ubiome_bacteriacounts.21",36364,628711,1653,"genus",NA,NA,1716,"Corynebacterium"
"ubiome_bacteriacounts.22",36493,630941,85007,"family",NA,NA,1653,"Corynebacteriaceae"
"ubiome_bacteriacounts.23",36580,632445,2037,"suborder",NA,NA,85007,"Corynebacterineae"
"ubiome_bacteriacounts.24",502,8679,186801,"order",NA,NA,186802,"Clostridiales"
"ubiome_bacteriacounts.25",502,8679,1239,"class",NA,NA,186801,"Clostridia"
"ubiome_bacteriacounts.26",4732,81813,2,"phylum","5E6591",NA,1239,"Firmicutes"
"ubiome_bacteriacounts.27",33,571,150022,"species",NA,NA,1260,"Finegoldia magna"
"ubiome_bacteriacounts.28",33,571,543310,"genus",NA,NA,150022,"Finegoldia"
"ubiome_bacteriacounts.29",452,7815,538999,"family",NA,NA,543310,"Clostridiales Family XI. Incertae Sedis"
