"","missing.count_norm","missing.tax_name"
"1",92665,"butyrate-producing bacterium A1-86"
"2",47129,"Clostridium chartatabidum"
"3",19001,"Bifidobacterium adolescentis"
"4",16245,"Ruminococcus bromii"
"5",8495,"Eubacterium siraeum"
"6",5929,"bacterium NLAE-zl-H436"
"7",5803,"Parabacteroides distasonis"
"8",139,"Varibaculum cambriense"
"9",126,"Finegoldia magna"
"10",114,"Clostridium indolis"
"11",101,"unidentified marine bacterioplankton"
"12",88,"Dehalogenimonas lykanthroporepellens"
"13",88,"Corynebacterium amycolatum"
"14",51,"unidentified bacterium ZF5"
"15",51,"Ruminococcus sp. 25F8"
"16",38,"Peptoniphilus sp. gpac018A"
"17",25,"Clostridium botulinum"
"18",25,"Peptoniphilus indolicus"
"19",25,"Streptococcus sp. S16-08"
"20",25,"Bifidobacterium ruminantium"
"21",25,"Anaerococcus sp. 9402080"
"22",25,"Streptococcus sanguinis"
"23",25,"Blautia luti"
"24",25,"Facklamia languida"
"25",25,"Porphyromonas sp. 2007b"
