count,count_norm,tax_rank,tax_name,,parent
121959,1043107,root,root,,0
116919,1000000,superkingdom,Bacteria,,131567
2,17,order,Myxococcales,,28221
10,86,order,Spirochaetales,,203692
2,17,genus,Helicobacter,,72293
10,86,order,Rhizobiales,,28211
2,17,family,Methylococcaceae,,135618
2,17,family,Legionellaceae,,118969
2,17,genus,Legionella,,444
2,17,family,Moraxellaceae,,72274
17,145,family,Alcaligenaceae,,80840
2,17,family,Enterobacteriaceae,,91347
4,34,order,Rickettsiales,,28211
15284,130723,family,Bacteroidaceae,,171549
14869,127174,genus,Bacteroides,,815
2832,24222,species,Bacteroides uniformis,,816
2,17,species,Bacteroides vulgatus,,816
257,2198,species,Parabacteroides distasonis,,375288
199,1702,genus,Butyrivibrio,,186803
2,17,genus,Porphyromonas,,171551
39,334,genus,Prevotella,,171552
5002,42782,genus,Roseburia,,186803
11152,95382,species,Faecalibacterium prausnitzii,,216851
16,137,genus,Desulfovibrio,,194924
44,376,genus,Acidaminococcus,,909930
42,359,species,Acidaminococcus fermentans,,904
64,547,genus,Herbaspirillum,,75682
3,26,family,Halanaerobiaceae,,53433
83990,718361,phylum,Firmicutes,,68336
9,77,family,Chromatiaceae,,135613
19203,164242,phylum,Bacteroidetes,,68336
3,26,family,Chloroflexaceae,,32064
8904,76155,phylum,Actinobacteria,,2
4,34,order,Chroococcales,,1301283
4340,37120,phylum,Euryarchaeota,,2
234,2001,class,Gammaproteobacteria,,1224
1148,9819,phylum,Proteobacteria,,2
32,274,species,Finegoldia magna,,150022
9801,83827,genus,Ruminococcus,,541000
4,34,species,Ruminococcus flavefaciens,,1263
387,3310,genus,Sarcina,,31979
149,1274,family,Micrococcaceae,,85006
2,17,genus,Staphylococcus,,90964
309,2643,family,Streptococcaceae,,186826
307,2626,genus,Streptococcus,,1300
71,607,species,Streptococcus thermophilus,,1301
125,1069,order,Bacillales,,91061
85,727,genus,Bacillus,,186817
67,573,species,Bacillus amyloliquefaciens,,653685
7730,66114,genus,Clostridium,,31979
15,128,species,Clostridium botulinum,,1485
2,17,species,Clostridium symbiosum,,1485
2821,24128,species,Clostridium clostridioforme,,1485
3571,30543,species,Clostridium baratii,,1485
168,1437,genus,Lactobacillus,,33958
3,26,genus,Listeria,,186820
659,5636,family,Corynebacteriaceae,,85007
147,1257,genus,Arthrobacter,,1268
7777,66516,genus,Bifidobacterium,,31953
78,667,species,Bifidobacterium adolescentis,,1678
3,26,species,Bifidobacterium bifidum,,1678
3,26,species,Bifidobacterium breve,,1678
