count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
309530,1028609,0,root,null,null,1,root
300921,1000000,131567,superkingdom,null,null,2,Bacteria
2,7,135621,genus,null,null,10,Cellvibrio
2,7,28221,order,null,null,29,Myxococcales
303,1007,203692,order,null,null,136,Spirochaetales
2,7,135621,genus,null,null,286,Pseudomonas
165,548,28211,order,null,null,356,Rhizobiales
20,66,135618,family,null,null,403,Methylococcaceae
125,415,119045,genus,null,null,407,Methylobacterium
20,66,403,genus,null,null,416,Methylomonas
126,419,91347,family,null,null,543,Enterobacteriaceae
3,10,122277,species,null,null,554,Pectobacterium carotovorum
3,10,543,genus,null,null,561,Escherichia
3,10,561,species,null,null,562,Escherichia coli
21,70,28211,order,null,null,766,Rickettsiales
3,10,942,genus,null,null,768,Anaplasma
3,10,768,species,null,null,770,Anaplasma marginale
17630,58587,171549,family,null,null,815,Bacteroidaceae
17169,57055,815,genus,null,null,816,Bacteroides
2805,9321,816,species,null,null,820,Bacteroides uniformis
768,2552,375288,species,null,null,823,Parabacteroides distasonis
63,209,186803,genus,null,null,830,Butyrivibrio
2393,7952,186803,genus,null,null,841,Roseburia
96,319,75682,genus,null,null,846,Oxalobacter
96,319,846,species,null,null,847,Oxalobacter formigenes
32018,106400,216851,species,null,null,853,Faecalibacterium prausnitzii
15,50,194924,genus,null,null,872,Desulfovibrio
77,256,909930,genus,null,null,904,Acidaminococcus
77,256,904,species,null,null,905,Acidaminococcus fermentans
6,20,31977,genus,null,null,906,Megasphaera
21,70,766,family,null,null,942,Anaplasmataceae
18,60,942,genus,null,null,943,Ehrlichia
912,3031,75682,genus,null,null,963,Herbaspirillum
29974,99608,68336,phylum,e65848,null,976,Bacteroidetes
2,7,89373,genus,null,null,992,Flexibacter
6,20,135613,family,null,null,1046,Chromatiaceae
14,47,2,phylum,null,null,1117,Cyanobacteria
4904,16297,2,phylum,2ab69d,null,1224,Proteobacteria
773,2569,1224,class,null,null,1236,Gammaproteobacteria
247561,822678,2,phylum,5E6591,null,1239,Firmicutes
7,23,81850,genus,null,null,1243,Leuconostoc
7,23,1243,species,null,null,1245,Leuconostoc mesenteroides
23984,79702,541000,genus,null,null,1263,Ruminococcus
288,957,31979,genus,null,null,1266,Sarcina
2,7,85006,family,null,null,1268,Micrococcaceae
447,1485,186826,family,null,null,1300,Streptococcaceae
411,1366,1300,genus,null,null,1301,Streptococcus
2,7,1301,species,null,null,1302,Streptococcus gordonii
2,7,1301,species,null,null,1305,Streptococcus sanguinis
30,100,1301,species,null,null,1308,Streptococcus thermophilus
3,10,1301,species,null,null,1318,Streptococcus parasanguinis
16,53,433334,species,null,null,1323,[Streptococcus] pleomorphus
25,83,81852,genus,null,null,1350,Enterococcus
36,120,1300,genus,null,null,1357,Lactococcus
36,120,1357,species,null,null,1358,Lactococcus lactis
2,7,1358,subspecies,null,null,1359,Lactococcus lactis subsp. cremoris
5,17,539738,genus,null,null,1378,Gemella
59,196,91061,order,null,null,1385,Bacillales
8,27,186817,genus,null,null,1386,Bacillus
11340,37684,31979,genus,null,null,1485,Clostridium
2,7,1485,species,null,null,1491,Clostridium botulinum
16,53,1481960,species,null,null,1496,Peptoclostridium difficile
16,53,1485,species,null,null,1506,Clostridium sp.
2,7,1485,species,null,null,1512,Clostridium symbiosum
5963,19816,1485,species,null,null,1531,Clostridium clostridioforme
46,153,1485,species,null,null,1535,Clostridium leptum
4167,13847,1485,species,null,null,1561,Clostridium baratii
3,10,186807,genus,null,null,1562,Desulfotomaculum
2208,7337,33958,genus,null,null,1578,Lactobacillus
7,23,1578,species,null,null,1590,Lactobacillus plantarum
8,27,655183,species,null,null,1597,Lactobacillus paracasei
