count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
77211,1003443,0,root,,,1,root
76946,1000000,131567,superkingdom,,,2,Bacteria
2071,26914,91347,family,,,543,Enterobacteriaceae
36,467,543,genus,,,547,Enterobacter
2026,26330,543,genus,,,579,Kluyvera
11,142,135625,family,,,712,Pasteurellaceae
5,64,712,genus,,,724,Haemophilus
5,64,724,species,,,729,Haemophilus parainfluenzae
6,77,712,genus,,,745,Pasteurella
6,77,745,species,,,758,Pasteurella pneumotropica
10856,141085,171549,family,,,815,Bacteroidaceae
10834,140800,815,genus,,,816,Bacteroides
30,389,816,species,,,818,Bacteroides thetaiotaomicron
11,142,816,species,,,820,Bacteroides uniformis
2992,38884,816,species,,,821,Bacteroides vulgatus
681,8850,375288,species,,,823,Parabacteroides distasonis
7,90,204431,genus,,,832,Fibrobacter
2,25,171552,genus,,,838,Prevotella
13761,178839,186803,genus,,,841,Roseburia
10631,138161,216851,species,,,853,Faecalibacterium prausnitzii
162,2105,194924,genus,,,872,Desulfovibrio
15,194,909930,genus,,,904,Acidaminococcus
15,194,904,species,,,905,Acidaminococcus fermentans
26,337,75682,genus,,,963,Herbaspirillum
19196,249473,68336,phylum,e65848,,976,Bacteroidetes
3580,46526,2,phylum,2ab69d,,1224,Proteobacteria
2082,27057,1224,class,,,1236,Gammaproteobacteria
50114,651287,2,phylum,5E6591,,1239,Firmicutes
2411,31333,31979,genus,,,1266,Sarcina
128,1663,186826,family,,,1300,Streptococcaceae
126,1637,1300,genus,,,1301,Streptococcus
63,818,1301,species,,,1308,Streptococcus thermophilus
5,64,1301,species,,,1311,Streptococcus agalactiae
2,25,1300,genus,,,1357,Lactococcus
39,506,91061,order,,,1385,Bacillales
29,376,186817,genus,,,1386,Bacillus
315,4093,31979,genus,,,1485,Clostridium
12,155,33958,genus,,,1578,Lactobacillus
3,38,2049,genus,,,1654,Actinomyces
340,4418,31953,genus,,,1678,Bifidobacterium
2,25,186806,genus,,,1730,Eubacterium
1737,22574,201174,class,,,1760,Actinobacteria
3,38,85003,order,,,2037,Actinomycetales
3,38,85005,family,,,2049,Actinomycetaceae
11,142,186333,genus,,,2152,Asteroleplasma
265,3443,131567,superkingdom,,,2157,Archaea
240,3119,183925,order,,,2158,Methanobacteriales
240,3119,2158,family,,,2159,Methanobacteriaceae
240,3119,2159,genus,,,2172,Methanobrevibacter
240,3119,2172,species,,,2173,Methanobrevibacter smithii
57,740,186807,genus,,,2740,Peptococcus
1134,14737,186803,genus,,,28050,Lachnospira
168,2183,283168,species,,,28118,Odoribacter splanchnicus
2,25,838,species,,,28127,Prevotella buccalis
320,4158,1224,class,,,28211,Alphaproteobacteria
786,10214,1224,class,,,28216,Betaproteobacteria
392,5094,68525,class,,,28221,Deltaproteobacteria
265,3443,2157,phylum,,,28890,Euryarchaeota
2,25,31977,genus,,,29465,Veillonella
340,4418,85004,family,,,31953,Bifidobacteriaceae
25,324,544448,class,,,31969,Mollicutes
261,3391,909929,family,,,31977,Veillonellaceae
2903,37727,186802,family,,,31979,Clostridiaceae
61,792,186803,genus,,,31980,Acetitomaculum
577,7498,909930,genus,,,33024,Phascolarctobacterium
564,7329,33024,species,,,33025,Phascolarctobacterium faecium
269,3495,186826,family,,,33958,Lactobacillaceae
230,2989,194924,genus,,,35832,Bilophila
2,25,1505652,species,,,36841,Terrisporobacter glycolicus
186,2417,189330,species,,,39486,Dorea formicigenerans
2,25,29465,species,,,39777,Veillonella atypica
256,3327,31977,genus,,,39948,Dialister
208,2703,995019,genus,,,40544,Sutterella
249,3236,204441,family,,,41295,Rhodospirillaceae
4,51,541000,genus,,,44748,Sporobacter
5,64,117563,species,,,46124,Granulicatella adiacens
810,10526,186803,genus,,,46205,Pseudobutyrivibrio
671,8720,375288,species,,,46503,Parabacteroides merdae
445,5783,816,species,,,47678,Bacteroides caccae
1176,15283,203494,order,,,48461,Verrucomicrobiales
143,1858,200644,family,,,49546,Flavobacteriaceae
1644,21365,2,superphylum,,,51290,Chlamydiae/Verrucomicrobia group
7,90,541000,genus,,,52784,Anaerofilum
21,272,128827,genus,,,61170,Holdemania
21,272,61170,species,,,61171,Holdemania filiformis
7,90,131550,phylum,,,65842,Fibrobacteres
25,324,186801,order,,,68295,Thermoanaerobacterales
19196,249473,2,superphylum,,,68336,Bacteroidetes/Chlorobi group
392,5094,1224,subphylum,,,68525,delta/epsilon subdivisions
1240,16115,51290,phylum,fdc536,,74201,Verrucomicrobia
26,337,80840,family,,,75682,Oxalobacteraceae
786,10214,28216,order,,,80840,Burkholderiales
1389,18051,255727,family,,,84107,Coriobacteriaceae
6,77,84107,genus,,,84108,Slackia
8,103,84107,genus,,,84111,Eggerthella
1394,18116,1760,subclass,,,84998,Coriobacteridae
1394,18116,84998,order,,,84999,Coriobacteriales
343,4457,1760,subclass,,,85003,Actinobacteridae
340,4418,85003,order,,,85004,Bifidobacteriales
3,38,2037,suborder,,,85005,Actinomycineae
27,350,816,species,,,85831,Bacteroides acidifaciens
20,259,543314,genus,,,86331,Mogibacterium
443,5757,572511,species,,,89014,Blautia luti
558,7251,1239,class,,,91061,Bacilli
2071,26914,1236,order,,,91347,Enterobacteriales
2,25,541000,genus,,,100175,Papillibacter
1232,16011,84107,genus,,,102106,Collinsella
3,38,1578,species,,,105612,Lactobacillus algidus
3,38,1017280,species,,,106588,Pseudoflavonifractor capillosus
2,25,543314,genus,,,109326,Anaerovorax
5,64,186828,genus,,,117563,Granulicatella
143,1858,976,class,,,117743,Flavobacteriia
65,844,541000,genus,,,119852,Oscillospira
514,6680,526525,family,,,128827,Erysipelotrichaceae
7,90,2,superphylum,,,131550,Fibrobacteres/Acidobacteria group
77211,1003443,1,no_rank,,,131567,cellular organisms
11,142,1236,order,,,135625,Pasteurellales
2,25,128827,genus,,,135858,Catenibacterium
46,597,191303,species,,,154288,Turicibacter sanguinis
249,3236,41295,genus,,,168934,Thalassospira
5,64,244127,species,,,169435,Anaerotruncus colihominis
19043,247485,200643,order,,,171549,Bacteroidales
2182,28357,171549,family,,,171550,Rikenellaceae
5429,70555,171549,family,,,171551,Porphyromonadaceae
2,25,171549,family,,,171552,Prevotellaceae
402,5224,255528,genus,,,172900,Victivallis
240,3119,28890,class,,,183925,Methanobacteria
11,142,31969,order,,,186332,Anaeroplasmatales
11,142,186332,family,,,186333,Anaeroplasmataceae
48189,626270,1239,class,,,186801,Clostridia
48108,625217,186801,order,,,186802,Clostridiales
22776,295999,186802,family,,,186803,Lachnospiraceae
1123,14594,186802,family,,,186804,Peptostreptococcaceae
11,142,186802,family,,,186806,Eubacteriaceae
605,7862,186802,family,,,186807,Peptococcaceae
1425,18519,186802,no_rank,,,186813,unclassified Clostridiales
25,324,68295,family,,,186814,Thermoanaerobacteraceae
29,376,1385,family,,,186817,Bacillaceae
519,6744,91061,order,,,186826,Lactobacillales
5,64,186826,family,,,186828,Carnobacteriaceae
25,324,186814,genus,,,189326,Gelria
277,3599,186803,genus,,,189330,Dorea
46,597,128827,genus,,,191303,Turicibacter
392,5094,213115,family,,,194924,Desulfovibrionaceae
19053,247615,976,class,,,200643,Bacteroidia
143,1858,117743,order,,,200644,Flavobacteriales
1737,22574,2,phylum,73C7D7,,201174,Actinobacteria
1176,15283,74201,class,,,203494,Verrucomicrobiae
1176,15283,48461,family,,,203557,Verrucomicrobiaceae
7,90,65842,class,,,204430,Fibrobacteria
7,90,218872,family,,,204431,Fibrobacteraceae
320,4158,28211,order,,,204441,Rhodospirillales
5,64,816,species,,,204516,Bacteroides massiliensis
471,6121,186803,genus,,,207244,Anaerostipes
3,38,31977,genus,,,209879,Allisonella
392,5094,28221,order,,,213115,Desulfovibrionales
788,10240,292632,species,,,214851,Subdoligranulum variabile
3,38,264995,species,,,214853,Anaerofustis stercorihominis
178,2313,186802,family,,,216572,Oscillospiraceae
12260,159332,541000,genus,,,216851,Faecalibacterium
7,90,204430,order,,,218872,Fibrobacterales
25,324,28890,class,,,224756,Methanomicrobia
