"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
2,131567,11060,1000000,null,Bacteria,superkingdom,null
1239,2,6161,557052,null,Firmicutes,phylum,5E6591
91061,1239,4667,421971,null,Bacilli,class,null
186826,91061,4079,368807,null,Lactobacillales,order,null
1224,2,3911,353617,null,Proteobacteria,phylum,2ab69d
1300,186826,3423,309494,null,Streptococcaceae,family,null
1301,1300,3408,308137,null,Streptococcus,genus,null
1236,1224,3212,290416,null,Gammaproteobacteria,class,null
135625,1236,3209,290145,null,Pasteurellales,order,null
712,135625,3209,290145,null,Pasteurellaceae,family,null
724,712,2848,257505,null,Haemophilus,genus,null
727,724,2844,257143,null,Haemophilus influenzae,species,null
909929,909932,1467,132640,null,Selenomonadales,order,null
909932,1239,1467,132640,null,Negativicutes,class,null
31977,909929,1467,132640,null,Veillonellaceae,family,null
29465,31977,1458,131826,null,Veillonella,genus,null
671229,29465,1451,131193,null,Veillonella sp. oral taxon 780,species,null
28216,1224,694,62749,null,Betaproteobacteria,class,null
481,206351,689,62297,null,Neisseriaceae,family,null
206351,28216,689,62297,null,Neisseriales,order,null
482,481,687,62116,null,Neisseria,genus,null
484,482,655,59222,null,Neisseria flavescens,species,null
186828,186826,629,56872,null,Carnobacteriaceae,family,null
117563,186828,627,56691,null,Granulicatella,genus,null
1385,91061,588,53165,null,Bacillales,order,null
1378,539738,584,52803,null,Gemella,genus,null
539002,1385,584,52803,null,Bacillales incertae sedis,no_rank,null
539738,539002,584,52803,null,Bacillales Family XI. Incertae Sedis,no_rank,null
68336,2,482,43580,null,Bacteroidetes/Chlorobi group,superphylum,null
976,68336,482,43580,null,Bacteroidetes,phylum,e65848
1379,1378,447,40416,null,Gemella haemolysans,species,null
200643,976,385,34810,null,Bacteroidia,class,null
171549,200643,378,34177,null,Bacteroidales,order,null
713,712,361,32640,null,Actinobacillus,genus,null
51048,713,339,30651,null,Actinobacillus porcinus,species,null
838,171552,306,27667,null,Prevotella,genus,null
171552,171549,306,27667,null,Prevotellaceae,family,null
49928,2323,245,22152,null,unclassified Bacteria (miscellaneous),no_rank,null
2323,2,245,22152,null,unclassified Bacteria,no_rank,null
1146433,49928,245,22152,null,bacterium NLAE-zl-P562,species,null
32066,2,199,17993,null,Fusobacteria,phylum,null
203490,32066,199,17993,null,Fusobacteriia,class,null
203491,203490,199,17993,null,Fusobacteriales,order,null
257758,1301,184,16637,null,Streptococcus pseudopneumoniae,species,null
203492,203491,172,15552,null,Fusobacteriaceae,family,null
848,203492,172,15552,null,Fusobacterium,genus,null
84374,838,158,14286,null,environmental samples,no_rank,null
1305,1301,152,13743,null,Streptococcus sanguinis,species,null
851,848,152,13743,null,Fusobacterium nucleatum,species,null
325821,84374,151,13653,null,Prevotella sp. oral clone ASCD07,species,null
49546,200644,94,8499,null,Flavobacteriaceae,family,null
200644,117743,94,8499,null,Flavobacteriales,order,null
117743,976,94,8499,null,Flavobacteriia,class,null
28132,838,68,6148,null,Prevotella melaninogenica,species,null
134245,836,67,6058,null,environmental samples,no_rank,null
836,171551,67,6058,null,Porphyromonas,genus,null
171551,171549,67,6058,null,Porphyromonadaceae,family,null
163563,134245,63,5696,null,Porphyromonas sp. oral clone BS045,species,null
1016,49546,62,5606,null,Capnocytophaga,genus,null
137732,117563,38,3436,null,Granulicatella elegans,species,null
28131,838,33,2984,null,Prevotella intermedia,species,null
59735,49546,32,2893,null,Bergeyella,genus,null
354471,59735,32,2893,null,Bergeyella sp. AF14,species,null
2037,85003,31,2803,null,Actinomycetales,order,null
201174,2,31,2803,null,Actinobacteria,phylum,73C7D7
85003,1760,31,2803,null,Actinobacteridae,subclass,null
1760,201174,31,2803,null,Actinobacteria,class,null
1019,1016,30,2712,null,Capnocytophaga sputigena,species,null
1129771,203491,27,2441,null,Leptotrichiaceae,family,null
32067,1129771,27,2441,null,Leptotrichia,genus,null
203692,203691,26,2351,null,Spirochaetia,class,null
203691,2,26,2351,null,Spirochaetes,phylum,null
137,136,26,2351,null,Spirochaetaceae,family,null
157,137,26,2351,null,Treponema,genus,null
1151478,157,26,2351,null,Treponema sp. canine oral taxon 087,species,null
136,203692,26,2351,null,Spirochaetales,order,null
186802,186801,25,2260,null,Clostridiales,order,null
186801,1239,25,2260,null,Clostridia,class,null
575614,652716,24,2170,null,Prevotella sp. oral taxon 299 str. F0039,no_rank,null
652716,838,24,2170,null,Prevotella sp. oral taxon 299,species,null
689665,482,22,1989,null,Neisseria sp. SMC-A9199,species,null
860,848,20,1808,null,Fusobacterium periodonticum,species,null
186804,186802,20,1808,null,Peptostreptococcaceae,family,null
85007,2037,18,1627,null,Corynebacterineae,suborder,null
1257,186804,17,1537,null,Peptostreptococcus,genus,null
186827,186826,16,1447,null,Aerococcaceae,family,null
224768,224767,16,1447,null,Abiotrophia sp. oral clone P4PA_155 P1,species,null
224767,46123,16,1447,null,environmental samples,no_rank,null
46123,186827,16,1447,null,Abiotrophia,genus,null
