count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
2,108,28890,class,,,183967,Thermoplasmata
42,2272,2157,phylum,,,28890,Euryarchaeota
42,2272,131567,superkingdom,,,2157,Archaea
18526,1002272,1,no_rank,,,131567,cellular organisms
18667,1009900,0,root,,,1,root
13,703,1080712,no_rank,,,1175296,Methanomassiliicoccus luminyensis B10
13,703,1080709,species,,,1080712,Methanomassiliicoccus luminyensis
13,703,459247,genus,,,1080709,Methanomassiliicoccus
13,703,224756,no_rank,,,459247,unclassified Methanomicrobia
13,703,28890,class,,,224756,Methanomicrobia
106,5735,1578,species,,,706562,Lactobacillus rogosae
106,5735,33958,genus,,,1578,Lactobacillus
106,5735,186826,family,,,33958,Lactobacillaceae
108,5843,91061,order,,,186826,Lactobacillales
162,8764,1239,class,,,91061,Bacilli
12649,684322,2,phylum,5E6591,,1239,Firmicutes
18484,1000000,131567,superkingdom,,,2,Bacteria
2,108,33024,species,,,33025,Phascolarctobacterium faecium
5,271,909930,genus,,,33024,Phascolarctobacterium
8,433,909929,family,,,909930,Acidaminococcaceae
23,1244,909932,order,,,909929,Selenomonadales
23,1244,1239,class,,,909932,Negativicutes
2,108,216572,genus,,,459786,Oscillibacter
2,108,186802,family,,,216572,Oscillospiraceae
12456,673880,186801,order,,,186802,Clostridiales
12458,673988,1239,class,,,186801,Clostridia
12,649,31977,genus,,,39948,Dialister
15,812,909929,family,,,31977,Veillonellaceae
2,108,768507,family,,,89373,Cytophagaceae
2,108,768503,order,,,768507,Cytophagales
2,108,976,class,,,768503,Cytophagia
4062,219758,68336,phylum,e65848,,976,Bacteroidetes
4062,219758,2,superphylum,,,68336,Bacteroidetes/Chlorobi group
2,108,135614,family,,,32033,Xanthomonadaceae
2,108,1236,order,,,135614,Xanthomonadales
91,4923,1224,class,,,1236,Gammaproteobacteria
394,21316,2,phylum,2ab69d,,1224,Proteobacteria
647,35003,816,species,,,310297,Bacteroides plebeius
2654,143584,815,genus,,,816,Bacteroides
2887,156189,171549,family,,,815,Bacteroidaceae
3997,216241,200643,order,,,171549,Bacteroidales
4017,217323,976,class,,,200643,Bacteroidia
2,108,207244,species,,,649756,Anaerostipes hadrus
142,7682,186803,genus,,,207244,Anaerostipes
2948,159489,186802,family,,,186803,Lachnospiraceae
150,8115,171551,genus,,,397864,Barnesiella
799,43227,171549,family,,,171551,Porphyromonadaceae
3,162,206389,family,,,75787,Rhodocyclaceae
3,162,28216,order,,,206389,Rhodocyclales
180,9738,1224,class,,,28216,Betaproteobacteria
8,433,246787,no_rank,,,537012,Bacteroides cellulosilyticus DSM 14838
8,433,816,species,,,246787,Bacteroides cellulosilyticus
3,162,171549,family,,,558415,Marinilabiliaceae
4,216,186804,no_rank,,,200630,unclassified Peptostreptococcaceae
9,487,186802,family,,,186804,Peptostreptococcaceae
86,4653,1224,class,,,28211,Alphaproteobacteria
3,162,1730,species,,,39488,Eubacterium hallii
44,2380,186806,genus,,,1730,Eubacterium
44,2380,186802,family,,,186806,Eubacteriaceae
39,2110,1730,species,,,39492,Eubacterium siraeum
5,271,186802,family,,,186807,Peptococcaceae
208,11253,1263,species,,,40518,Ruminococcus bromii
827,44741,541000,genus,,,1263,Ruminococcus
7515,406568,186802,family,,,541000,Ruminococcaceae
103,5572,572511,species,,,40520,[Ruminococcus] obeum
524,28349,186803,genus,,,572511,Blautia
51,2759,39779,species,,,105829,butyrate-producing bacterium A1-86
129,6979,186813,no_rank,,,39779,unclassified Clostridiales (miscellaneous)
132,7141,186802,no_rank,,,186813,unclassified Clostridiales
2,108,1301283,order,,,1150,Oscillatoriales
2,108,1117,subclass,,,1301283,Oscillatoriophycideae
18,974,2,phylum,,,1117,Cyanobacteria
2,108,1411023,species,,,747603,Peptostreptococcaceae bacterium TM5
2,108,200630,no_rank,,,1411023,unclassified Peptostreptococcaceae (miscellaneous)
2,108,408169,no_rank,,,410657,ecological metagenomes
10,541,12908,no_rank,,,408169,metagenomes
141,7628,1,no_rank,,,12908,unclassified sequences
2,108,1265,no_rank,,,641112,Ruminococcus flavefaciens FD-1
2,108,1263,species,,,1265,Ruminococcus flavefaciens
3,162,118969,family,,,118968,Coxiellaceae
3,162,1236,order,,,118969,Legionellales
185,10009,1678,species,,,28025,Bifidobacterium animalis
195,10550,31953,genus,,,1678,Bifidobacterium
203,10982,85004,family,,,31953,Bifidobacteriaceae
203,10982,85003,order,,,85004,Bifidobacteriales
203,10982,1760,subclass,,,85003,Actinobacteridae
205,11091,201174,class,,,1760,Actinobacteria
205,11091,2,phylum,73C7D7,,201174,Actinobacteria
319,17258,841,species,,,583272,Roseburia sp. 11SE38
457,24724,186803,genus,,,841,Roseburia
6,325,410656,no_rank,,,408170,human gut metagenome
6,325,408169,no_rank,,,410656,organismal metagenomes
9,487,75682,genus,,,963,Herbaspirillum
9,487,80840,family,,,75682,Oxalobacteraceae
173,9359,28216,order,,,80840,Burkholderiales
94,5085,239759,species,,,328813,Alistipes onderdonkii
216,11686,171550,genus,,,239759,Alistipes
216,11686,171549,family,,,171550,Rikenellaceae
3,162,239759,species,,,328814,Alistipes shahii
3,162,816,species,,,691816,Bacteroides rodentium
7,379,65842,class,,,204430,Fibrobacteria
7,379,131550,phylum,,,65842,Fibrobacteres
16,866,2,superphylum,,,131550,Fibrobacteres/Acidobacteria group
24,1298,68525,class,,,28221,Deltaproteobacteria
