taxon,parent,count,count_norm,avg,tax_name,tax_rank,tax_color
2,131567,22691,1000000,null,Bacteria,superkingdom,null
1239,2,15414,679300,null,Firmicutes,phylum,5E6591
186801,1239,15315,674937,null,Clostridia,class,null
186802,186801,15299,674232,null,Clostridiales,order,null
541000,186802,8784,387114,null,Ruminococcaceae,family,null
186803,186802,5240,230929,null,Lachnospiraceae,family,null
216851,541000,4623,203737,null,Faecalibacterium,genus,null
68336,2,3385,149178,null,Bacteroidetes/Chlorobi group,superphylum,null
976,68336,3381,149002,null,Bacteroidetes,phylum,e65848
200643,976,3370,148517,null,Bacteroidia,class,null
171549,200643,3368,148429,null,Bacteroidales,order,null
853,216851,3094,136354,null,Faecalibacterium prausnitzii,species,null
815,171549,2486,109559,null,Bacteroidaceae,family,null
816,815,2359,103962,null,Bacteroides,genus,null
49928,2323,1959,86334,null,unclassified Bacteria (miscellaneous),no_rank,null
2323,2,1959,86334,null,unclassified Bacteria,no_rank,null
572511,186803,1948,85849,null,Blautia,genus,null
1146296,49928,1806,79591,null,bacterium NLAE-zl-P430,species,null
1263,541000,1794,79062,null,Ruminococcus,genus,null
1224,2,1705,75140,null,Proteobacteria,phylum,2ab69d
1236,1224,1316,57997,null,Gammaproteobacteria,class,null
543,91347,1244,54823,null,Enterobacteriaceae,family,null
91347,1236,1244,54823,null,Enterobacteriales,order,null
40520,572511,1110,48918,null,[Ruminococcus] obeum,species,null
46205,186803,938,41338,null,Pseudobutyrivibrio,genus,null
413496,543,815,35917,null,Cronobacter,genus,null
28141,413496,815,35917,null,Cronobacter sakazakii,species,null
171551,171549,693,30541,null,Porphyromonadaceae,family,null
33042,186803,584,25737,null,Coprococcus,genus,null
820,816,498,21947,null,Bacteroides uniformis,species,null
537278,33042,438,19303,null,Coprococcus sp. DJF_CR49,species,null
31979,186802,412,18157,null,Clostridiaceae,family,null
204516,816,401,17672,null,Bacteroides massiliensis,species,null
1485,31979,400,17628,null,Clostridium,genus,null
1531,1485,380,16747,null,Clostridium clostridioforme,species,null
40518,1263,352,15513,null,Ruminococcus bromii,species,null
375288,171551,316,13926,null,Parabacteroides,genus,null
554,122277,312,13750,null,Pectobacterium carotovorum,species,null
122277,543,312,13750,null,Pectobacterium,genus,null
990719,186802,307,13530,null,Christensenellaceae,family,null
841,186803,244,10753,null,Roseburia,genus,null
292632,541000,200,8814,null,Subdoligranulum,genus,null
28211,1224,199,8770,null,Alphaproteobacteria,class,null
283168,171551,191,8417,null,Odoribacter,genus,null
204441,28211,179,7889,null,Rhodospirillales,order,null
207244,186803,179,7889,null,Anaerostipes,genus,null
41295,204441,176,7756,null,Rhodospirillaceae,family,null
186813,186802,175,7712,null,unclassified Clostridiales,no_rank,null
201174,2,175,7712,null,Actinobacteria,phylum,73C7D7
1760,201174,175,7712,null,Actinobacteria,class,null
626933,283168,174,7668,null,Odoribacter laneus,species,null
168934,41295,172,7580,null,Thalassospira,genus,null
39779,186813,167,7360,null,unclassified Clostridiales (miscellaneous),no_rank,null
28216,1224,166,7316,null,Betaproteobacteria,class,null
80840,28216,164,7228,null,Burkholderiales,order,null
85003,1760,159,7007,null,Actinobacteridae,subclass,null
31953,85004,157,6919,null,Bifidobacteriaceae,family,null
1678,31953,157,6919,null,Bifidobacterium,genus,null
85004,85003,157,6919,null,Bifidobacteriales,order,null
189330,186803,152,6699,null,Dorea,genus,null
577310,995019,150,6611,null,Parasutterella,genus,null
