"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
2,131567,116919,1000000,null,Bacteria,superkingdom,null
1239,2,83990,718361,null,Firmicutes,phylum,5E6591
186801,1239,82618,706626,null,Clostridia,class,null
186802,186801,82570,706215,null,Clostridiales,order,null
541000,186802,35329,302166,null,Ruminococcaceae,family,null
186803,186802,27774,237549,null,Lachnospiraceae,family,null
68336,2,19214,164336,null,Bacteroidetes/Chlorobi group,superphylum,null
976,68336,19203,164242,null,Bacteroidetes,phylum,e65848
200643,976,19080,163190,null,Bacteroidia,class,null
171549,200643,18981,162343,null,Bacteroidales,order,null
216851,541000,16600,141979,null,Faecalibacterium,genus,null
815,171549,15284,130723,null,Bacteroidaceae,family,null
816,815,14869,127174,null,Bacteroides,genus,null
853,216851,11152,95382,null,Faecalibacterium prausnitzii,species,null
1263,541000,9801,83827,null,Ruminococcus,genus,null
201174,2,8904,76155,null,Actinobacteria,phylum,73C7D7
1760,201174,8904,76155,null,Actinobacteria,class,null
85003,1760,8766,74975,null,Actinobacteridae,subclass,null
31979,186802,8306,71041,null,Clostridiaceae,family,null
310297,816,8113,69390,null,Bacteroides plebeius,species,null
85004,85003,7855,67183,null,Bifidobacteriales,order,null
31953,85004,7855,67183,null,Bifidobacteriaceae,family,null
1678,31953,7777,66516,null,Bifidobacterium,genus,null
1485,31979,7730,66114,null,Clostridium,genus,null
33042,186803,6326,54106,null,Coprococcus,genus,null
28025,1678,5976,51112,null,Bifidobacterium animalis,species,null
537278,33042,5457,46673,null,Coprococcus sp. DJF_CR49,species,null
572511,186803,5225,44689,null,Blautia,genus,null
841,186803,5002,42782,null,Roseburia,genus,null
990719,186802,4791,40977,null,Christensenellaceae,family,null
583272,841,4369,37368,null,Roseburia sp. 11SE38,species,null
1561,1485,3571,30543,null,Clostridium baratii,species,null
40518,1263,3146,26908,null,Ruminococcus bromii,species,null
186804,186802,2882,24650,null,Peptostreptococcaceae,family,null
820,816,2832,24222,null,Bacteroides uniformis,species,null
1531,1485,2821,24128,null,Clostridium clostridioforme,species,null
171551,171549,2672,22853,null,Porphyromonadaceae,family,null
200630,186804,2536,21690,null,unclassified Peptostreptococcaceae,no_rank,null
747603,1411023,2534,21673,null,Peptostreptococcaceae bacterium TM5,species,null
1411023,200630,2534,21673,null,unclassified Peptostreptococcaceae (miscellaneous),no_rank,null
2323,2,2493,21322,null,unclassified Bacteria,no_rank,null
49928,2323,2481,21220,null,unclassified Bacteria (miscellaneous),no_rank,null
207244,186803,2444,20903,null,Anaerostipes,genus,null
46205,186803,2109,18038,null,Pseudobutyrivibrio,genus,null
1146296,49928,1739,14874,null,bacterium NLAE-zl-P430,species,null
204516,816,1663,14224,null,Bacteroides massiliensis,species,null
186813,186802,1363,11658,null,unclassified Clostridiales,no_rank,null
39779,186813,1355,11589,null,unclassified Clostridiales (miscellaneous),no_rank,null
283168,171551,1295,11076,null,Odoribacter,genus,null
1224,2,1148,9819,null,Proteobacteria,phylum,2ab69d
28050,186803,1143,9776,null,Lachnospira,genus,null
216816,1678,1119,9571,null,Bifidobacterium longum,species,null
626933,283168,1070,9152,null,Odoribacter laneus,species,null
40520,572511,947,8100,null,[Ruminococcus] obeum,species,null
2037,85003,911,7792,null,Actinomycetales,order,null
189330,186803,870,7441,null,Dorea,genus,null
51290,2,796,6808,null,Chlamydiae/Verrucomicrobia group,superphylum,null
74201,51290,776,6637,null,Verrucomicrobia,phylum,fdc536
203494,74201,772,6603,null,Verrucomicrobiae,class,null
48461,203494,772,6603,null,Verrucomicrobiales,order,null
203557,48461,772,6603,null,Verrucomicrobiaceae,family,null
239934,203557,733,6269,null,Akkermansia,genus,null
620860,39779,670,5730,null,Clostridiales bacterium L2-14,species,null
85007,2037,659,5636,null,Corynebacterineae,suborder,null
1653,85007,659,5636,null,Corynebacteriaceae,family,null
1716,1653,657,5619,null,Corynebacterium,genus,null
