"","2017-01-05","2016-09-04","2016-12-14","2016-12-23","2017-01-03","2017-01-10","2017-02-28","2017-04-06","2017-04-09","2017-04-10","2017-04-12","2017-04-15","2017-04-22","2017-04-26","2017-05-13","2017-05-18","2017-06-26","2017-06-17","2017-07-08","2017-07-11","2017-07-13","2017-07-13","2017-07-14"
"Kluyvera",0,113,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5744,0,0,0,36626
"Bacteroides",0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,160,90,17,20229,0,0,430,275589
"Fibrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654
"Porphyromonas",136,144,0,0,457,0,0,0,0,108,351,146,0,0,0,0,0,124,0,0,0,0,0
"Prevotella",0,361,0,0,279,0,0,28,0,81,0,0,0,239,0,0,0,0,0,0,0,172,0
"Roseburia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,18426
"Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
"Herbaspirillum",0,20,291,69,0,29,0,85,0,0,0,0,0,0,0,0,135,284,0,0,511,1034,0
"Sarcina",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,0,0,14217
"Staphylococcus",119571,59362,114197,24124,81666,120604,204313,111739,100621,79086,125761,69284,127620,63709,99765,48764,101196,70658,62934,79942,134580,75829,19830
"Streptococcus",2318,517,1543,181,6914,0,740,737,0,543,4395,1321,0,2167,0,0,1268,2157,463,178,0,172,2044
"Bacillus",0,0,333,0,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,146,603,534
"Clostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,5478
"Bifidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877
"Brevibacterium",0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium",189497,374811,148481,116217,77502,43457,138129,353109,218389,262725,209896,102018,311603,340638,256121,163231,395314,421116,375325,457320,581135,272296,142671
"Phascolarctobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13322
"Bilophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,3273
"Dialister",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,1149
"Sutterella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028
"Pseudobutyrivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28903
"Collinsella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4556
"Oscillospira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2979
"Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668
"Thalassospira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5708,0,0,0,23531
"Varibaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,815
"Dorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
"Anaerostipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3126
"Faecalibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,321,0,0,0,89689
"Alistipes",0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21660
"Akkermansia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,14471
"Anaerotruncus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18012
"Odoribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,3407
"Subdoligranulum",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,53,226,0,0,0,0,0,5171
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,0,0,0,23397
"Barnesiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3955
"Oscillibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4957
"Blautia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,62,1855,0,365,0,32764
"Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,0,0,0,2031
"Parasutterella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420
"Flavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783,0,0,0,3233
"Intestinimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924
"Intestinibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,0,0,0,2472
"Erysipelatoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590
"Pseudomonas",0,186,333,0,169,0,0,0,204,0,0,440,11035,1002,3607,0,0,0,142,0,146,0,227
"Actinomyces",0,113,0,0,262,0,0,37,0,0,78,0,0,21,0,0,0,26,0,0,146,430,0
"Propionibacterium",23815,16081,5630,8441,10655,4614,18439,31608,10761,16632,27289,20330,36575,23298,13851,17621,25061,15908,21977,27894,115145,44291,12801
