"taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"2","131567","32610","1000000","null","Bacteria","superkingdom","null"
"1239","2","17214","527875","null","Firmicutes","phylum","5E6591"
"186801","1239","17056","523030","null","Clostridia","class","null"
"186802","186801","17031","522263","null","Clostridiales","order","null"
"51290","2","8221","252101","null","Chlamydiae/Verrucomicrobia group","superphylum","null"
"74201","51290","8212","251825","null","Verrucomicrobia","phylum","fdc536"
"48461","203494","8199","251426","null","Verrucomicrobiales","order","null"
"203557","48461","8199","251426","null","Verrucomicrobiaceae","family","null"
"203494","74201","8199","251426","null","Verrucomicrobiae","class","null"
"186803","186802","6726","206256","null","Lachnospiraceae","family","null"
"976","68336","4585","140601","null","Bacteroidetes","phylum","e65848"
"68336","2","4585","140601","null","Bacteroidetes/Chlorobi group","superphylum","null"
"200643","976","4564","139957","null","Bacteroidia","class","null"
"171549","200643","4473","137167","null","Bacteroidales","order","null"
"541000","186802","3731","114413","null","Ruminococcaceae","family","null"
"239934","203557","2571","78841","null","Akkermansia","genus","null"
"815","171549","2330","71450","null","Bacteroidaceae","family","null"
"572511","186803","2276","69795","null","Blautia","genus","null"
"816","815","2094","64213","null","Bacteroides","genus","null"
"830","186803","1475","45232","null","Butyrivibrio","genus","null"
"49928","2323","1408","43177","null","unclassified Bacteria (miscellaneous)","no_rank","null"
"2323","2","1408","43177","null","unclassified Bacteria","no_rank","null"
"990719","186802","1291","39589","null","Christensenellaceae","family","null"
"1146296","49928","1216","37289","null","bacterium NLAE-zl-P430","species","null"
"45851","830","1210","37105","null","Butyrivibrio crossotus","species","null"
"31979","186802","737","22600","null","Clostridiaceae","family","null"
"171551","171549","730","22386","null","Porphyromonadaceae","family","null"
"1263","541000","464","14229","null","Ruminococcus","genus","null"
"1224","2","431","13217","null","Proteobacteria","phylum","2ab69d"
"375288","171551","400","12266","null","Parabacteroides","genus","null"
"508458","2","354","10856","null","Synergistetes","phylum","null"
"1266","31979","328","10058","null","Sarcina","genus","null"
"171550","171549","297","9108","null","Rikenellaceae","family","null"
"1236","1224","288","8832","null","Gammaproteobacteria","class","null"
"649776","649775","256","7850","null","Synergistales","order","null"
"649775","508458","256","7850","null","Synergistia","class","null"
"46503","375288","255","7820","null","Parabacteroides merdae","species","null"
"649777","649776","252","7728","null","Synergistaceae","family","null"
"186804","186802","249","7636","null","Peptostreptococcaceae","family","null"
"91347","1236","232","7114","null","Enterobacteriales","order","null"
"543","91347","203","6225","null","Enterobacteriaceae","family","null"
"239759","171550","185","5673","null","Alistipes","genus","null"
"207244","186803","184","5642","null","Anaerostipes","genus","null"
"329854","816","179","5489","null","Bacteroides intestinalis","species","null"
"1485","31979","179","5489","null","Clostridium","genus","null"
"1117","2","149","4569","null","Cyanobacteria","phylum","null"
"200630","186804","141","4324","null","unclassified Peptostreptococcaceae","no_rank","null"
