tax_name,count_norm
Salmonella enterica subsp. enterica serovar Agona,50
Peptoniphilus indolicus,636
Escherichia sp. enrichment culture clone 1(2012),50
Holdemania massiliensis,25
Chromobacterium,75
Haemophilus ducreyi,25
Shigella flexneri,25
Collinsella tanakaei YIT 12063,50
Neisseriales,75
Escherichia,1035
Clostridium nexile,1135
Clostridium lactatifermentans,461
Salmonella,50
Lachnospiraceae bacterium 2_1_58FAA,561
butyrate-producing bacterium T2-132,20578
Salmonella enterica subsp. enterica,50
Phascolarctobacterium faecium from koala feces,7620
Pantoea dispersa from plants seeds soil humans,2108
bacterium NLAE-zl-C173,125
Citrobacter,75
Dorea formicigenerans,7009
Howardella,324
Escherichia sp. 4094,112
Sutterella wadsworthensis,162
unclassified Enterobacteriaceae (miscellaneous),75
Enterobacteriaceae bacterium b6_i18,75
Anaerococcus,50
Eubacterium eligens ATCC 27750,50
Slackia,561
Parvibacter caecicola,50
Chromobacterium group,75
bacterium NLAE-zl-C312,62
Collinsella tanakaei,50
Corynebacterium amycolatum,50
Lachnospiraceae bacterium 1_4_56FAA,1883
Bacteroides sp. DSM 12148,75
Enterococcus,324
Pectobacterium carotovorum plant pathogen,20741
unclassified Enterobacteriaceae,75
Enterococcaceae,324
Alteromonadales,50
Sutterella,22324
Escherichia coli,798
Finegoldia magna,1235
Alishewanella agri,25
Salmonella enterica,50
Ruminococcus sp. WAL 17306,25
Chromobacteriaceae,75
Haemophilus ducreyi 35000HP,25
bacterium enrichment culture clone NBAR007,25
Holdemania massiliensis AP2,25
Clostridiales bacterium 1_7_47FAA,62
Anaerococcus hydrogenalis,50
Ruminococcus bromii,5325
Howardella ureilytica,324
Rhodobacteraceae,25
Bacteroidetes Order II. Incertae sedis,25
Eubacterium eligens,50
Alistipes putredinis,1347
Alishewanella,25
Alteromonadaceae,50
Alishewanella agri BL06,25
butyrate-producing bacterium A1-86,125
Shigella,25
Slackia sp. NATTS,561
Finegoldia,1235
Enterococcus mundtii,324
Bacteroides stercoris,2058
Sutterella wadsworthensis 2_1_59BFAA,162
Escherichia coli CFT073,112
Sutterella stercoricanis from dog,22162
Peptostreptococcus anaerobius,224
Parabacteroides distasonis,5899
Peptoniphilus,636
Staphylococcus petrasii,25
Collinsella aerofaciens,611
