tax_name,count_norm
Alistipes indistinctus,28
Clostridium leptum,91
Victivallaceae bacterium NML 080035,1520
Corynebacterium tuberculostearicum,20
Collinsella sp. GD3,8
Gemella haemolysans,20
Clostridiaceae bacterium DJF_VR07,8
Veillonella sp. oral clone VeillD5,24
Clostridium symbiosum,8
Bifidobacterium tsurumiense,8295
Veillonellaceae bacterium canine oral taxon 211,8
Lactobacillus rogosae,1286
Bacteroides caccae,24
Clostridium disporicum,182
Pseudomonas sp. CB113,8
Lactobacillus sp. MNFS-3,8
Lactobacillus rhamnosus,16
Holdemania filiformis,63
Bacteroides ovatus,8
Clostridiales bacterium oral clone MCE3_9,8
Synergistes sp. 3_1_syn1,1856
Brachyspira sp. NSH-25,8
butyrate-producing bacterium PH05YA09,348
bacterium NLAE-zl-G423,44
Victivallis vadensis,139
Prevotella buccalis,40
Solobacterium moorei,12
Ruminococcus sp. 14531,32
Corynebacterium jeikeium,8
Turicibacter sanguinis,12
Enterobacter cloacae,115
Bacteroides fragilis,8
Dialister sp. oral clone BS095,2074
Bifidobacterium stellenboschense,8
Acidaminococcus fermentans,807
Clostridiales bacterium CIEAF 022,28
Subdoligranulum sp. 4_3_54A2FAA,289
Cellulophaga lytica,8
Clostridium sp. 619,107
Ruminococcus sp. ID1,459
Desulfovibrio sp. oral clone BB161,780
Clostridium sp.,36
Coprococcus catus,625
Herbaspirillum sp. TSA30,36
Actinomyces sp. oral clone CT047,8
Bifidobacterium animalis,51
bacterium NLAE-zl-G256,12
Clostridium asparagiforme,8
Pseudoclavibacter sp. Timone,8
Pseudoflavonifractor capillosus,107
Herbaspirillum lusitanum,8
Phascolarctobacterium faecium,3487
Lachnospiraceae bacterium 19gly4,16
Ruminococcus sp. JC304,16
Peptoclostridium difficile,83
[Clostridium] spiroforme,194
Akkermansia muciniphila,32
iron-reducing bacterium enrichment culture clone FeC_1_A3,372
Bacillus clausii,8
Anaerotruncus colihominis,28
Clostridiales bacterium L2-14,2268
Barnesiella intestinihominis,14492
[Streptococcus] pleomorphus,67
Bifidobacterium catenulatum,8
Arthrobacter crystallopoietes,32
Anaplasma marginale,16
Johnsonella ignava,8
Clostridium sp. YIT 12069,36
Pantoea endophytica,87
Porphyromonadaceae bacterium AIP925.11,625
Pectobacterium carotovorum,135
Coriobacteriaceae bacterium GD5,12
Porphyromonas sp. oral clone BS045,8
Bacteroides plebeius,74140
Corynebacterium sp. NML00-0156,12
Tannerella sp. 6_1_58FAA_CT1,305
Oxalobacter formigenes,87
Ruminococcus lactaris,170
Eubacterium sp. 3_1_31,20
Serratia marcescens,8
Clostridium sp. M62/1,8
Clostridium sp. ID5,491
Clostridium sp. YIT 12070,20
Anaerotruncus sp. NML 070203,376
Bacteroides intestinalis,297
Desulfotomaculum carboxydivorans,8
Clostridium clariflavum,59
bacterium enrichment culture clone Ecwsrb035,146
Coprococcus sp. DJF_CR49,36631
Clostridium sp. CM-C52,36
Dialister micraerophilus,8
rumen bacterium NK4A214,348
Coprococcus comes,938
Clostridium sp. NML 04A032,24
Bifidobacterium saeculare,12
Clostridium sp. AUH-JLC235,732
Corynebacterium mucifaciens,28
Desulfovibrio sp. enrichment culture clone Jdgsrb034,20
Odoribacter laneus,34367
bacterium mpn-isolate group 25,8
Bacteroides helcogenes,8
Corynebacterium freneyi,67
Clostridiales bacterium 60-7e,328
Blautia faecis,2715
bacterium NLAE-zl-H12,16
Parabacteroides johnsonii,170
Subdoligranulum variabile,4650
Bifidobacterium thermacidophilum,28
Listeria monocytogenes,59
