tax_rank,tax_name,count_norm
species,Peptostreptococcus stomatis,8
no_rank,Cellulophaga lytica DSM 7489,8
species,Lactobacillus sp. MNFS-3,8
no_rank,Akkermansia muciniphila ATCC BAA-835,8
species,Collinsella sp. GD3,8
species,Clostridium scindens,8
no_rank,Herbaspirillum lusitanum P6-12,8
species,Herbaspirillum lusitanum,8
order,Nitrosomonadales,8
class,Caldilineae,8
order,Caldilineales,8
family,Thermoanaerobacterales Family IV. Incertae Sedis,8
genus,Sporomusa,8
species,Veillonellaceae bacterium canine oral taxon 211,8
species,Cellulophaga lytica,8
genus,Cellulophaga,8
no_rank,Bacteroides ovatus CL03T12C18,8
species,Actinomyces sp. oral clone CT047,8
species,Clostridiaceae bacterium DJF_VR07,8
subclass,Acidimicrobidae,8
species,Eubacterium contortum,8
order,Desulfarculales,8
class,Fibrobacteria,8
phylum,Fibrobacteres,8
no_rank,unclassified Veillonellaceae,8
no_rank,unclassified Clostridiaceae,8
order,Bdellovibrionales,8
no_rank,Dialister micraerophilus DSM 19965,8
species,Dialister micraerophilus,8
species,Clostridiales bacterium oral clone MCE3_9,8
species,Haemophilus pittmaniae,8
species,Clostridium symbiosum,8
no_rank,Clostridium symbiosum WAL-14163,8
suborder,Frankineae,8
family,Geodermatophilaceae,8
genus,Geodermatophilus,8
no_rank,Johnsonella ignava ATCC 51276,8
family,Moraxellaceae,8
species,Johnsonella ignava,8
species,Bacillus clausii,8
family,Gracilibacteraceae,8
species,Corynebacterium jeikeium,8
species,Brachyspira sp. NSH-25,8
genus,Brachyspira,8
genus,Rothia,8
family,Brachyspiraceae,8
species,Bacteroides ovatus,8
phylum,Cyanobacteria,8
family,Coxiellaceae,8
genus,Aggregatibacter,8
no_rank,Bacillus clausii KSM-K16,8
genus,Fonticella,8
genus,Johnsonella,8
genus,Peptostreptococcus,8
species,Bifidobacterium stellenboschense,8
family,Desulfomicrobiaceae,8
phylum,Chlorobi,8
class,Chlorobia,8
no_rank,Desulfotomaculum carboxydivorans CO-1-SRB,8
species,Desulfotomaculum carboxydivorans,8
species,Serratia marcescens,8
genus,Desulfotomaculum,8
family,Microbacteriaceae,8
genus,Enorma,8
species,Enorma massiliensis,8
no_rank,Enorma massiliensis phI,8
genus,Actinobacillus,8
genus,Pseudoclavibacter,8
species,Actinobacillus porcinus,8
species,bacterium mpn-isolate group 25,8
genus,Macrococcus,8
species,Clostridium sp. M62/1,8
