tax_name,count_norm
Oxalobacter formigenes,718
Brachyspira sp. NSH-25,3959
butyrate-producing bacterium PH05YA09,276
Clostridium chauvoei,288
Clostridiales bacterium RM3,37
Parabacteroides johnsonii,141
Veillonella sp. oral clone VeillE3,12
Bacteroides ovatus,12
Enterobacter cloacae,18
Lachnospiraceae bacterium 2_1_58FAA,18
Subdoligranulum sp. 4_3_54A2FAA,338
Clostridium lavalense,74
Desulfovibrio desulfuricans,12
Clostridium sp. AUH-JLC235,135
Clostridium leptum,203
Clostridium sp. ID5,31
rumen bacterium NK4A214,117
Johnsonella ignava,12
Bacteroides oleiciplenus,55
Bacteroides sp. TP-5,92
Clostridium disporicum,147
Ruminococcus sp. ID1,12
Porphyromonadaceae bacterium AIP925.11,270
Bacillus clausii,12
Bacteroides intestinalis,209
bacterium NLAE-zl-P562,31
Acidaminococcus fermentans,368
Streptococcus sanguinis,12
Pectobacterium carotovorum,55
Alistipes indistinctus,92
Ruminococcus faecis,1099
Desulfovibrio sp. oral clone BB161,61
Clostridium sp.,86
Burkholderia kururiensis,12
Eubacterium desmolans,387
Collinsella sp. GD3,98
Butyrivibrio fibrisolvens,25
Clostridium sp. MDA2315,37
Bifidobacterium adolescentis,12
Streptococcus pseudopneumoniae,12
Syntrophobacter fumaroxidans,12
Lactobacillus sakei,12
Blautia sp. YHC-4,12
Tannerella sp. 6_1_58FAA_CT1,31
Clostridium sp. AG07-1,12
Yersinia enterocolitica,12
Haemophilus pittmaniae,12
bacterium NLAE-zl-G423,153
Clostridium sp. 619,18
Eggerthella lenta,12
Bifidobacterium dentium,12
Clostridiales bacterium CIEAF 022,117
Lactococcus lactis,18
Desulfovibrio simplex,18
Holdemania filiformis,31
Adlercreutzia equolifaciens,264
Lachnospiraceae bacterium 19gly4,12
Veillonella rodentium,12
Streptococcus rubneri,31
bacterium NLAE-zl-G256,12
Victivallis vadensis,12
Escherichia sp. P14,25
butyrate-producing bacterium L1-93,55
Clostridiales bacterium L2-14,141
Gordonibacter pamelaeae,117
Pseudoflavonifractor capillosus,55
Coprococcus catus,129
Anaplasma marginale,31
