"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.1","2","131567","79102","1000000",NA,"Bacteria","superkingdom",NA
"ubiome_bacteriacounts.2","1239","2","46235","584498",NA,"Firmicutes","phylum","5E6591"
"ubiome_bacteriacounts.3","186801","1239","44689","564954",NA,"Clostridia","class",NA
"ubiome_bacteriacounts.4","186802","186801","44682","564866",NA,"Clostridiales","order",NA
"ubiome_bacteriacounts.5","68336","2","21744","274886",NA,"Bacteroidetes/Chlorobi group","superphylum",NA
"ubiome_bacteriacounts.6","976","68336","21741","274848",NA,"Bacteroidetes","phylum","e65848"
"ubiome_bacteriacounts.7","200643","976","21729","274696",NA,"Bacteroidia","class",NA
"ubiome_bacteriacounts.8","171549","200643","21710","274456",NA,"Bacteroidales","order",NA
"ubiome_bacteriacounts.9","815","171549","17195","217378",NA,"Bacteroidaceae","family",NA
"ubiome_bacteriacounts.10","816","815","17013","215077",NA,"Bacteroides","genus",NA
"ubiome_bacteriacounts.11","541000","186802","13465","170223",NA,"Ruminococcaceae","family",NA
"ubiome_bacteriacounts.12","310297","816","12687","160388",NA,"Bacteroides plebeius","species",NA
"ubiome_bacteriacounts.13","186803","186802","10367","131059",NA,"Lachnospiraceae","family",NA
"ubiome_bacteriacounts.14","186813","186802","7409","93664",NA,"unclassified Clostridiales","no_rank",NA
"ubiome_bacteriacounts.15","39779","186813","7400","93550",NA,"unclassified Clostridiales (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.16","1263","541000","7397","93512",NA,"Ruminococcus","genus",NA
"ubiome_bacteriacounts.17","105829","39779","7330","92665",NA,"butyrate-producing bacterium A1-86","species",NA
"ubiome_bacteriacounts.18","31979","186802","5958","75320",NA,"Clostridiaceae","family",NA
"ubiome_bacteriacounts.19","1485","31979","5642","71326",NA,"Clostridium","genus",NA
"ubiome_bacteriacounts.20","1760","201174","5191","65624",NA,"Actinobacteria","class",NA
"ubiome_bacteriacounts.21","201174","2","5191","65624",NA,"Actinobacteria","phylum","73C7D7"
"ubiome_bacteriacounts.22","85003","1760","5142","65005",NA,"Actinobacteridae","subclass",NA
"ubiome_bacteriacounts.23","2323","2","4755","60112",NA,"unclassified Bacteria","no_rank",NA
"ubiome_bacteriacounts.24","49928","2323","4755","60112",NA,"unclassified Bacteria (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.25","31953","85004","4681","59177",NA,"Bifidobacteriaceae","family",NA
"ubiome_bacteriacounts.26","85004","85003","4681","59177",NA,"Bifidobacteriales","order",NA
"ubiome_bacteriacounts.27","1678","31953","4647","58747",NA,"Bifidobacterium","genus",NA
"ubiome_bacteriacounts.28","29356","1485","3728","47129",NA,"Clostridium chartatabidum","species",NA
"ubiome_bacteriacounts.29","990719","186802","3187","40290",NA,"Christensenellaceae","family",NA
"ubiome_bacteriacounts.30","1146296","49928","3048","38533",NA,"bacterium NLAE-zl-P430","species",NA
"ubiome_bacteriacounts.31","572511","186803","3012","38077",NA,"Blautia","genus",NA
"ubiome_bacteriacounts.32","28025","1678","2969","37534",NA,"Bifidobacterium animalis","species",NA
"ubiome_bacteriacounts.33","171551","171549","2836","35852",NA,"Porphyromonadaceae","family",NA
"ubiome_bacteriacounts.34","33042","186803","2831","35789",NA,"Coprococcus","genus",NA
"ubiome_bacteriacounts.35","537278","33042","2189","27673",NA,"Coprococcus sp. DJF_CR49","species",NA
"ubiome_bacteriacounts.36","1680","1678","1503","19001",NA,"Bifidobacterium adolescentis","species",NA
"ubiome_bacteriacounts.37","204516","816","1394","17623",NA,"Bacteroides massiliensis","species",NA
"ubiome_bacteriacounts.38","171550","171549","1336","16890",NA,"Rikenellaceae","family",NA
