"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.1","2","131567","56871","1000000",NA,"Bacteria","superkingdom",NA
"ubiome_bacteriacounts.2","1239","2","44682","785673",NA,"Firmicutes","phylum","5E6591"
"ubiome_bacteriacounts.3","91061","1239","41553","730654",NA,"Bacilli","class",NA
"ubiome_bacteriacounts.4","186826","91061","34898","613634",NA,"Lactobacillales","order",NA
"ubiome_bacteriacounts.5","1300","186826","33432","587857",NA,"Streptococcaceae","family",NA
"ubiome_bacteriacounts.6","1301","1300","33362","586626",NA,"Streptococcus","genus",NA
"ubiome_bacteriacounts.7","1385","91061","6651","116949",NA,"Bacillales","order",NA
"ubiome_bacteriacounts.8","539002","1385","6612","116263",NA,"Bacillales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.9","539738","539002","6612","116263",NA,"Bacillales Family XI. Incertae Sedis","no_rank",NA
"ubiome_bacteriacounts.10","1378","539738","6610","116228",NA,"Gemella","genus",NA
"ubiome_bacteriacounts.11","1224","2","6092","107120",NA,"Proteobacteria","phylum","2ab69d"
"ubiome_bacteriacounts.12","257758","1301","4479","78757",NA,"Streptococcus pseudopneumoniae","species",NA
"ubiome_bacteriacounts.13","68336","2","3589","63108",NA,"Bacteroidetes/Chlorobi group","superphylum",NA
"ubiome_bacteriacounts.14","976","68336","3589","63108",NA,"Bacteroidetes","phylum","e65848"
"ubiome_bacteriacounts.15","1236","1224","3400","59784",NA,"Gammaproteobacteria","class",NA
"ubiome_bacteriacounts.16","135625","1236","3308","58167",NA,"Pasteurellales","order",NA
"ubiome_bacteriacounts.17","712","135625","3308","58167",NA,"Pasteurellaceae","family",NA
"ubiome_bacteriacounts.18","200643","976","2909","51151",NA,"Bacteroidia","class",NA
"ubiome_bacteriacounts.19","171549","200643","2909","51151",NA,"Bacteroidales","order",NA
"ubiome_bacteriacounts.20","909929","909932","2758","48496",NA,"Selenomonadales","order",NA
"ubiome_bacteriacounts.21","909932","1239","2758","48496",NA,"Negativicutes","class",NA
"ubiome_bacteriacounts.22","31977","909929","2756","48461",NA,"Veillonellaceae","family",NA
"ubiome_bacteriacounts.23","51048","713","2691","47318",NA,"Actinobacillus porcinus","species",NA
"ubiome_bacteriacounts.24","713","712","2691","47318",NA,"Actinobacillus","genus",NA
"ubiome_bacteriacounts.25","29465","31977","2529","44469",NA,"Veillonella","genus",NA
"ubiome_bacteriacounts.26","28216","1224","2481","43625",NA,"Betaproteobacteria","class",NA
"ubiome_bacteriacounts.27","171552","171549","2359","41480",NA,"Prevotellaceae","family",NA
"ubiome_bacteriacounts.28","838","171552","2310","40618",NA,"Prevotella","genus",NA
"ubiome_bacteriacounts.29","481","206351","2304","40513",NA,"Neisseriaceae","family",NA
"ubiome_bacteriacounts.30","206351","28216","2304","40513",NA,"Neisseriales","order",NA
