"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.1","2","131567","61310","1000000",NA,"Bacteria","superkingdom",NA
"ubiome_bacteriacounts.2","201174","2","59122","964313",NA,"Actinobacteria","phylum","73C7D7"
"ubiome_bacteriacounts.3","1760","201174","59122","964313",NA,"Actinobacteria","class",NA
"ubiome_bacteriacounts.4","85003","1760","59086","963725",NA,"Actinobacteridae","subclass",NA
"ubiome_bacteriacounts.5","2037","85003","59086","963725",NA,"Actinomycetales","order",NA
"ubiome_bacteriacounts.6","85007","2037","58614","956027",NA,"Corynebacterineae","suborder",NA
"ubiome_bacteriacounts.7","1653","85007","58583","955521",NA,"Corynebacteriaceae","family",NA
"ubiome_bacteriacounts.8","1716","1653","56295","918203",NA,"Corynebacterium","genus",NA
"ubiome_bacteriacounts.9","38304","1716","27717","452080",NA,"Corynebacterium tuberculostearicum","species",NA
"ubiome_bacteriacounts.10","702953","1716","3824","62372",NA,"Corynebacterium sp. NML00-0156","species",NA
"ubiome_bacteriacounts.11","1239","2","2074","33828",NA,"Firmicutes","phylum","5E6591"
"ubiome_bacteriacounts.12","441501","1716","1670","27239",NA,"Corynebacterium massiliense","species",NA
"ubiome_bacteriacounts.13","91061","1239","1535","25037",NA,"Bacilli","class",NA
"ubiome_bacteriacounts.14","1385","91061","1479","24123",NA,"Bacillales","order",NA
"ubiome_bacteriacounts.15","90964","1385","1479","24123",NA,"Staphylococcaceae","family",NA
"ubiome_bacteriacounts.16","1279","90964","1477","24091",NA,"Staphylococcus","genus",NA
"ubiome_bacteriacounts.17","1281","1279","1443","23536",NA,"Staphylococcus carnosus","species",NA
"ubiome_bacteriacounts.18","57171","1716","824","13440",NA,"Corynebacterium mucifaciens","species",NA
"ubiome_bacteriacounts.19","134034","1716","646","10537",NA,"Corynebacterium freneyi","species",NA
"ubiome_bacteriacounts.20","538999","186802","532","8677",NA,"Clostridiales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.21","186801","1239","532","8677",NA,"Clostridia","class",NA
"ubiome_bacteriacounts.22","543310","538999","532","8677",NA,"Clostridiales Family XI. Incertae Sedis","family",NA
"ubiome_bacteriacounts.23","186802","186801","532","8677",NA,"Clostridiales","order",NA
"ubiome_bacteriacounts.24","85006","2037","417","6802",NA,"Micrococcineae","suborder",NA
"ubiome_bacteriacounts.25","165779","543310","416","6785",NA,"Anaerococcus","genus",NA
"ubiome_bacteriacounts.26","36739","85020","389","6345",NA,"Dermabacter","genus",NA
"ubiome_bacteriacounts.27","85020","85006","389","6345",NA,"Dermabacteraceae","family",NA
"ubiome_bacteriacounts.28","36740","36739","380","6198",NA,"Dermabacter hominis","species",NA
"ubiome_bacteriacounts.29","938291","165779","137","2235",NA,"Anaerococcus sp. 8405254","species",NA
"ubiome_bacteriacounts.30","150022","543310","73","1191",NA,"Finegoldia","genus",NA
"ubiome_bacteriacounts.31","1260","150022","68","1109",NA,"Finegoldia magna","species",NA
"ubiome_bacteriacounts.32","1224","2","67","1093",NA,"Proteobacteria","phylum","2ab69d"
"ubiome_bacteriacounts.33","186826","91061","56","913",NA,"Lactobacillales","order",NA
"ubiome_bacteriacounts.34","938293","165779","51","832",NA,"Anaerococcus sp. 9402080","species",NA
"ubiome_bacteriacounts.35","85005","2037","51","832",NA,"Actinomycineae","suborder",NA
"ubiome_bacteriacounts.36","2049","85005","51","832",NA,"Actinomycetaceae","family",NA
"ubiome_bacteriacounts.37","1719","1716","51","832",NA,"Corynebacterium pseudotuberculosis","species",NA
"ubiome_bacteriacounts.38","935697","1719","51","832",NA,"Corynebacterium pseudotuberculosis CIP 52.97","no_rank",NA
"ubiome_bacteriacounts.39","976","68336","47","767",NA,"Bacteroidetes","phylum","e65848"
"ubiome_bacteriacounts.40","68336","2","47","767",NA,"Bacteroidetes/Chlorobi group","superphylum",NA
"ubiome_bacteriacounts.41","1654","2049","45","734",NA,"Actinomyces","genus",NA
"ubiome_bacteriacounts.42","171412","186827","44","718",NA,"Eremococcus","genus",NA
"ubiome_bacteriacounts.43","88132","171412","44","718",NA,"Eremococcus coleocola","species",NA
"ubiome_bacteriacounts.44","186827","186826","44","718",NA,"Aerococcaceae","family",NA
"ubiome_bacteriacounts.45","33007","1654","43","701",NA,"Actinomyces neuii","species",NA
"ubiome_bacteriacounts.46","162289","543310","43","701",NA,"Peptoniphilus","genus",NA
"ubiome_bacteriacounts.47","161879","1716","43","701",NA,"Corynebacterium kroppenstedtii","species",NA
"ubiome_bacteriacounts.48","1236","1224","43","701",NA,"Gammaproteobacteria","class",NA
"ubiome_bacteriacounts.49","117743","976","41","669",NA,"Flavobacteriia","class",NA
"ubiome_bacteriacounts.50","200644","117743","41","669",NA,"Flavobacteriales","order",NA
"ubiome_bacteriacounts.51","395087","237","41","669",NA,"Flavobacterium ceti","species",NA
"ubiome_bacteriacounts.52","237","49546","41","669",NA,"Flavobacterium","genus",NA
"ubiome_bacteriacounts.53","49546","200644","41","669",NA,"Flavobacteriaceae","family",NA
"ubiome_bacteriacounts.54","72274","1236","32","522",NA,"Pseudomonadales","order",NA
"ubiome_bacteriacounts.55","135621","72274","30","489",NA,"Pseudomonadaceae","family",NA
"ubiome_bacteriacounts.56","286","135621","30","489",NA,"Pseudomonas","genus",NA
"ubiome_bacteriacounts.57","1048429","286","30","489",NA,"Pseudomonas sp. CB113","species",NA
"ubiome_bacteriacounts.58","62629","1716","27","440",NA,"Corynebacterium thomssenii","species",NA
"ubiome_bacteriacounts.59","38284","1716","25","408",NA,"Corynebacterium accolens","species",NA
"ubiome_bacteriacounts.60","525260","38284","25","408",NA,"Corynebacterium accolens ATCC 49725","no_rank",NA
"ubiome_bacteriacounts.61","43765","1716","24","391",NA,"Corynebacterium amycolatum","species",NA
"ubiome_bacteriacounts.62","28211","1224","24","391",NA,"Alphaproteobacteria","class",NA
"ubiome_bacteriacounts.63","85029","85007","23","375",NA,"Dietziaceae","family",NA
"ubiome_bacteriacounts.64","37914","85029","23","375",NA,"Dietzia","genus",NA
"ubiome_bacteriacounts.65","41275","76892","22","359",NA,"Brevundimonas","genus",NA
"ubiome_bacteriacounts.66","930451","41275","22","359",NA,"Brevundimonas sp. CmLB14","species",NA
"ubiome_bacteriacounts.67","204458","28211","22","359",NA,"Caulobacterales","order",NA
"ubiome_bacteriacounts.68","76892","204458","22","359",NA,"Caulobacteraceae","family",NA
"ubiome_bacteriacounts.69","38287","1716","20","326",NA,"Corynebacterium fastidiosum","species",NA
"ubiome_bacteriacounts.70","46170","1280","16","261",NA,"Staphylococcus aureus subsp. aureus","subspecies",NA
"ubiome_bacteriacounts.71","1074919","46170","16","261",NA,"Staphylococcus aureus subsp. aureus ST228","no_rank",NA
"ubiome_bacteriacounts.72","1280","1279","16","261",NA,"Staphylococcus aureus","species",NA
"ubiome_bacteriacounts.73","1301","1300","12","196",NA,"Streptococcus","genus",NA
"ubiome_bacteriacounts.74","1300","186826","12","196",NA,"Streptococcaceae","family",NA
"ubiome_bacteriacounts.75","641484","255204","11","179",NA,"Pseudoclavibacter sp. Timone","species",NA
"ubiome_bacteriacounts.76","255204","85023","11","179",NA,"Pseudoclavibacter","genus",NA
"ubiome_bacteriacounts.77","1140134","33811","11","179",NA,"gamma proteobacterium B3","species",NA
"ubiome_bacteriacounts.78","33811","118884","11","179",NA,"unclassified Gammaproteobacteria (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.79","85023","85006","11","179",NA,"Microbacteriaceae","family",NA
"ubiome_bacteriacounts.80","1268","85006","11","179",NA,"Micrococcaceae","family",NA
"ubiome_bacteriacounts.81","118884","1236","11","179",NA,"unclassified Gammaproteobacteria","no_rank",NA
"ubiome_bacteriacounts.82","411577","165779","9","147",NA,"Anaerococcus murdochii","species",NA
"ubiome_bacteriacounts.83","76833","2049","6","98",NA,"Actinobaculum","genus",NA
"ubiome_bacteriacounts.84","59505","76833","6","98",NA,"Actinobaculum schaalii","species",NA
"ubiome_bacteriacounts.85","161889","1716","5","82",NA,"Corynebacterium lipophiloflavum","species",NA
"ubiome_bacteriacounts.86","31977","909929","5","82",NA,"Veillonellaceae","family",NA
"ubiome_bacteriacounts.87","909929","909932","5","82",NA,"Selenomonadales","order",NA
"ubiome_bacteriacounts.88","909932","1239","5","82",NA,"Negativicutes","class",NA
"ubiome_bacteriacounts.89","525263","161889","5","82",NA,"Corynebacterium lipophiloflavum DSM 44291","no_rank",NA
"ubiome_bacteriacounts.90","930486","1269","4","65",NA,"Micrococcus sp. CmNA9","species",NA
"ubiome_bacteriacounts.91","200666","117747","4","65",NA,"Sphingobacteriales","order",NA
"ubiome_bacteriacounts.92","1269","1268","4","65",NA,"Micrococcus","genus",NA
"ubiome_bacteriacounts.93","1234843","423349","4","65",NA,"Mucilaginibacter sp. BJC16-A6","species",NA
"ubiome_bacteriacounts.94","84566","200666","4","65",NA,"Sphingobacteriaceae","family",NA
"ubiome_bacteriacounts.95","423349","84566","4","65",NA,"Mucilaginibacter","genus",NA
"ubiome_bacteriacounts.96","117747","976","4","65",NA,"Sphingobacteriia","class",NA
"ubiome_bacteriacounts.97","145358","85006","4","65",NA,"Bogoriellaceae","family",NA
"ubiome_bacteriacounts.98","1434027","145358","4","65",NA,"Oceanitalea","genus",NA
"ubiome_bacteriacounts.99","906","31977","3","49",NA,"Megasphaera","genus",NA
"ubiome_bacteriacounts.100","171549","200643","2","33",NA,"Bacteroidales","order",NA
"ubiome_bacteriacounts.101","200643","976","2","33",NA,"Bacteroidia","class",NA
"ubiome_bacteriacounts.102","171552","171549","2","33",NA,"Prevotellaceae","family",NA
"ubiome_bacteriacounts.103","838","171552","2","33",NA,"Prevotella","genus",NA
"ubiome_bacteriacounts.104","1763","1762","2","33",NA,"Mycobacterium","genus",NA
"ubiome_bacteriacounts.105","386414","838","2","33",NA,"Prevotella timonensis","species",NA
"ubiome_bacteriacounts.106","58113","85034","2","33",NA,"Glycomyces","genus",NA
"ubiome_bacteriacounts.107","909928","31977","2","33",NA,"Negativicoccus","genus",NA
"ubiome_bacteriacounts.108","1762","85007","2","33",NA,"Mycobacteriaceae","family",NA
"ubiome_bacteriacounts.109","620903","909928","2","33",NA,"Negativicoccus succinicivorans","species",NA
"ubiome_bacteriacounts.110","85019","85006","2","33",NA,"Brevibacteriaceae","family",NA
"ubiome_bacteriacounts.111","85014","2037","2","33",NA,"Glycomycineae","suborder",NA
"ubiome_bacteriacounts.112","33032","165779","2","33",NA,"Anaerococcus lactolyticus","species",NA
"ubiome_bacteriacounts.113","34062","46225","2","33",NA,"Moraxella osloensis","species",NA
"ubiome_bacteriacounts.114","46225","475","2","33",NA,"Moraxella","subgenus",NA
"ubiome_bacteriacounts.115","475","468","2","33",NA,"Moraxella","genus",NA
"ubiome_bacteriacounts.116","468","72274","2","33",NA,"Moraxellaceae","family",NA
